Nr,language,pov,original,gloss,translation,source,page,comments
209,Malagasy,reflexive,mahita-tena</td><td>i</td><td>Koto,sees-REFL</td><td>NA</td><td>Koto,Koto can see himself.,"Zribi-Hertz, A. & F. Rajaonarisoa (1999). Reflexive Marking as Noun Incorporation: Evidence from French and Malagasy. Ms., 39 pp. Paris.",21,NA: nominal article; determiner which is used only with proper names; <i>tena</i> incorporated into the verb (cf. Zribi-Hertz & Rajaonarisoa 1999); sometimes with middle semantics; this is probably responsible for the modal component (<i>can see himself</i>)
210,Malagasy,reflexive,mahita</td><td>ny</td><td>tena-ny</td><td>i</td><td>Koto,sees</td><td>ART</td><td>REFL-3.POSS</td><td>NA</td><td>Koto,Koto sees his self. (his body).,"Zribi-Hertz, A. & F. Rajaonarisoa (1999). Reflexive Marking as Noun Incorporation: Evidence from French and Malagasy. Ms., 39 pp. Paris.",22,"NA: nominal article; determiner which is used only with proper names<br> <i>tena</i> as lexical N-head within a DP (<i>possessive tena</i>)<br> possessive <i>tena</i> is not syntactically incorporated into the verb (cf. Zribi-Hertz 1999)<br> it indicates semantic reflexivity as opposed to incorporated <i>tena</i>, which tends to show middle semantics"
211,Malagasy,reflexive,nikasa</td><td>hanavo-tena</td><td>i</td><td>Paoly,intended</td><td>will.save-REFL</td><td>NA</td><td>Paul,Paul intended to save himself.,"Randriamasimanana, Charles (1986). The Causatives of Malagasy. Honolulu: The University of Hawaii.",304,NA: nominal article; determiner which is used only with proper names
212,Malagasy,adnominal,tonga</td><td>izy</td><td>tena-ny,arrived</td><td>he</td><td>INT-POSS.3SG,He himself arrived. (lit.: arrived he his-body),"Randriamasimanana, Charles (1986). The Causatives of Malagasy. Honolulu: The University of Hawaii.",232,<i>tena-ny</i> is used in association with pronominals; if the preceding nominal is an NP <i>mihitsy</i> (<i>indeed</i>) is used
214,Abkhaz,adnominal,à-j&#611;ab</td><td>l-xatà,ART-girl</td><td>POSS.3SG-INT,the girl herself,"Hewitt, B.G. in collaboration with Z.K. Khiba (1989). <i>Abkhaz</i>. London: Routledge.",58,"<i>-xatà</i> follows its head noun, although the adverbial may open or close the NP as a whole"
215,Bulgarian,reflexive,mija</td><td>se,I.wash</td><td>REFL,I wash myself.,"Nikolova-Galabova, Z. & K. Galabov (1968). B&#259;lgarsko-nemski frazeologi&#269;en re&#269;nik. Sofia: Nauka i izkustvo.",-,--
216,Bulgarian,reflexive,toj</td><td>misli</td><td>samo</td><td>za</td><td>[sebe</td><td>si],he</td><td>thinks</td><td>only</td><td>PREP</td><td>[REFL],He only thinks of himself.,"Nikolova-Galabova, Z. & K. Galabov (1968). B&#259;lgarsko-nemski frazeologi&#269;en re&#269;nik. Sofia: Nauka i izkustvo.",-,--
217,Bulgarian,reflexive,toj</td><td>be</td><td>predostaven</td><td>na</td><td>sam-ija</td><td>sebe</td><td>si,he</td><td>was</td><td>given</td><td>PREP</td><td>INT-DAT</td><td>REFL</td><td>REFL/CL,He was left to himself.,"Nikolova-Galabova, Z. & K. Galabov (1968). B&#259;lgarsko-nemski frazeologi&#269;en re&#269;nik. Sofia: Nauka i izkustvo.",-,--
218,Bulgarian,adnominal,sam-ijat</td><td>az</td><td>govorix</td><td>s</td><td>nego,INT-DEF</td><td>I</td><td>spoke</td><td>with</td><td>him,I myself spoke to him.,"Nikolova-Galabova, Z. & K. Galabov (1968). B&#259;lgarsko-nemski frazeologi&#269;en re&#269;nik. Sofia: Nauka i izkustvo.",-,--
219,Dutch,reflexive,Hij</td><td>voelde</td><td>zich</td><td>wegglijden,he</td><td>felt</td><td>REFL</td><td>slide.away,He felt himself slip.,"Reuland, E. (2000). The fine structure of grammar: Anaphoric relations. In: Frajzyngier, Z. & Curl, T. (eds.), Reflexives - Forms and Functions. Amsterdam: Benjamins.",11,--
220,Dutch,reflexive,Jan</td><td>wast</td><td>zich,Jan</td><td>washes</td><td>REFL,Jan washes himself,source of information: Jenny Audring (p.c.),-,--
221,Dutch,adnominal,ik</td><td>wil</td><td>de</td><td>directeur</td><td>zélf</td><td>spreken,I</td><td>want</td><td>ART</td><td>director</td><td>INT</td><td>talk.to,I want to talk to the director himself.,source of information: Jenny Audring (p.c.),-,&lt;é&gt;: Dutch orthographic convention commonly used to mark stress
222,Dutch,adnominal,de</td><td>universiteit</td><td>zelf</td><td>bereik</td><td>je</td><td>met</td><td>de</td><td>bus,ART</td><td>university</td><td>INT</td><td>reach</td><td>you</td><td>with</td><td>ART</td><td>bus,The university itself is reached by bus.,source of information: Jenny Audring (p.c.),-,--
223,Dutch,reflexive,Jan</td><td>haatte</td><td>zichzelf,Jan</td><td>hated</td><td>REFL,Jan hated himself.,source of information: Jenny Audring (p.c.),-,--
224,French,own,Pierre</td><td>a</td><td>vendu</td><td>sa</td><td>propre</td><td>maison,Pierre</td><td>has</td><td>sold</td><td>his</td><td>OWN</td><td>house,Pierre has sold his own house.,questionnaire (anonymous source informant),-,--
225,Greek,reflexive,i</td><td>ifiyénya</td><td>?isíase</td><td>ton</td><td>eaftó</td><td>tis,the.NOM.FEM.SG</td><td>Ephigenia.NOM</td><td>sacrificed</td><td>the.ACC.SG.MASC</td><td>REFL</td><td>PRO.GEN.SG.MASC,Ephigenia sacrificed herself.,"Manney, Linda (1998). The Reflexive Archetype and its various realizations in Modern Greek. <i>Studies in Language</i> 22:1.",7,nominal strategy
226,Greek,reflexive,i</td><td>ifiyénya</td><td>(afto-)?isíastike,the.NOM.FEM.SG</td><td>Ephigenia.NOM</td><td>(self-)sacrificed.MID,Ephigenia sacrificed herself.,"Manney, Linda (1998). The Reflexive Archetype and its various realizations in Modern Greek. <i>Studies in Language</i> 22:1.",7,weak reflexive strategy (see comments above)
227,Greek,adnominal,eyó</td><td>o</td><td>ídhios</td><td>to</td><td>ékana,I.NOM</td><td>the.NOM.SG.MASC</td><td>INT.NOM.SG.MASC</td><td>it</td><td>did,I myself did it.,"Joseph, Brian D. and Irene Philippaki-Warburton (1987). <i>Modern Greek</i>. London: Croom Helm.",161,--
228,Greek,adnominal,eyó</td><td>to</td><td>ékana</td><td>o</td><td>ídhios,I.NOM</td><td>it</td><td>did</td><td>the.NOM.SG.MASC</td><td>INT.NOM.SG.MASC,I myself did it.,"Joseph, Brian D. and Irene Philippaki-Warburton (1987). <i>Modern Greek</i>. London: Croom Helm.",161,--
229,Greek,adnominal,(aftí)</td><td>i</td><td>ídhia</td><td>to</td><td>ékane,(self)</td><td>the.NOM.SG.FEM</td><td>INT.NOM.SG.FEM</td><td>it</td><td>did,She herself did it.,"Joseph, Brian D. and Irene Philippaki-Warburton (1987). <i>Modern Greek</i>. London: Croom Helm.",161,--
230,Greek,reflexive,o</td><td>eaftós</td><td>mu/su/tu</td><td>ftéi,the.NOM.SG.MASC</td><td>INT.NOM.SG.</td><td>my/your/his</td><td>blames,Myself/Yourself/Himself is to blame.,"Joseph, Brian D. and Irene Philippaki-Warburton (1987). <i>Modern Greek</i>. London: Croom Helm.",83,<i>o eaftós tu</i> in subject position: pragmatically marked option (only with experiencer verbs (?) or unaccusatives (?))
231,Greek,own,to</td><td>dhikó</td><td>mu</td><td>(to)</td><td>vivlío,the.NOM.SG.NEUT</td><td>OWN.NOM.SG.NEUT</td><td>my</td><td>(the)</td><td>book.SG.NEUT,my own book,"Joseph, Brian D. and Irene Philippaki-Warburton (1987). <i>Modern Greek</i>. London: Croom Helm.",161,--
232,Classical Nahuatl,adnominal,ne&#660;watl</td><td>no-no&#660;ma&#660;</td><td>nokontlapalotiw</td><td>in</td><td>mo-kokoxka</td><td>ta&#660;-tsin,I</td><td>POSS.1SG-INT</td><td>I.will.visit.him</td><td>ART</td><td>POSS.2SG-sick</td><td>father-HON,I myself will go and visit your sick father.,"Siméon, Rémi (1977). <i>Diccionario de la Lengua Náhuatl o Mexicana</i>. Madrid: Siglo Veintiuno.",348,&lt;tl&gt;: voiceless lateral release<br> <i>nono&#660;ma&#660;</i> is probably ambiguous between adnominal and adverbial reading here
233,Classical Nahuatl,adnominal,tel</td><td>ka</td><td>i-no&#660;ma&#660;</td><td>i-tlama:se:walis-tika</td><td>omokixti</td><td>omokneli,but</td><td>because</td><td>POSS.3SG-INT</td><td>POSS.3SG-penances-INSTR</td><td>had.complied</td><td>had.saved.himself,"Yet it was because he himself, by his penances, had complied and saved himself.","Fray Bernadino de Sahagún: Codex Florentino, Book VI, 71.",-,--
234,Classical Nahuatlx,adv exclusive,ne&#660;watl</td><td>no-no&#660;ma&#660;</td><td>nokontlapalotiw</td><td>in</td><td>mo-kokoxka</td><td>ta&#660;-tsin,I</td><td>POSS.1SG-INT</td><td>I.will.visit.him</td><td>ART</td><td>POSS.2SG-sick</td><td>father-HON,I myself will go and visit your sick father.,"Siméon, Rémi (1977). <i>Diccionario de la Lengua Náhuatl o Mexicana</i>. Madrid: Siglo Veintiuno.",348,&lt;tl&gt;: voiceless lateral release<br> <i>nono&#660;ma&#660;</i> is probably ambiguous between adnominal and adverbial reading
235,Classical Nahuatl,own,no-ne&#660;wia:n</td><td>no-tlatlakol,POSS.1SG-INT</td><td>POSS.1SG-fault,my own fault,"Siméon, Rémi (1977). <i>Diccionario de la Lengua Náhuatl o Mexicana</i>. Madrid: Siglo Veintiuno.",342,--
236,Classical Nahuatl,reflexive,mo-tla&#660;so&#660;tla,REFL.3-love,"(S)he loves him-/herself, they love each other.","Siméon, Rémi (1977). <i>Diccionario de la Lengua Náhuatl o Mexicana</i>. Madrid: Siglo Veintiuno.",LI,--
237,Classical Nahuatl,reflexive,no-no&#660;ma&#660;</td><td>ni-k-no-maka,POSS.1SG-INT</td><td>SBJ.1SG-OBJ.3SG-REFL.1SG-give,I give it to myself.,"Siméon, Rémi (1977). <i>Diccionario de la Lengua Náhuatl o Mexicana</i>. Madrid: Siglo Veintiuno.",348,--
238,Classical Nahuatl,adnominal,ki-&#269;i&#269;iwa</td><td>in</td><td>kapitan</td><td>wel</td><td>ye&#660;watl,OBJ.3SG-adorn</td><td>ART</td><td>captain</td><td>INT</td><td>he,They adorned the captain himself.,"Fray Bernadino de Sahagún: Codex Florentino, Book 12, V, 15",-,<i>wel</i>: restricted to referents of high social rank
239,Hungarian,reflexive,meg-védte</td><td>magá-t</td><td>/</td><td>saját</td><td>magá-t</td><td>védte</td><td>meg,PART-he.defended</td><td>INT-POSS.3SG.ACC</td><td>/</td><td>own</td><td>INT-POSS.3SG.ACC</td><td>he.defended</td><td>PART,He deFENded himself. / He defended himSELF.,questionnaire (source of information: Ildikó Reinhardt),-,--
240,Abkhaz,scalar focus particle,à-j&#611;ab</td><td>l-xatà-g&#146;&#601;&#768;,ART-girl</td><td>POSS.3SG-INT-even,even the girl herself,"Hewitt, B.G. in collaboration with Z.K. Khiba (1989). <i>Abkhaz</i>. London: Routledge.",59,"the emphatic clitic <i>-g'E</i> ('even', 'also') may also be suffixed either to the noun or to the quantifier"
241,Hungarian,reflexive,ti</td><td>mos-akod-tok,you</td><td>wash-REFL-2PL,You are washing yourselves.,"Kenesei, István, Robert M. Vago, and Anna Fenyvesi (1998). <i>Hungarian</i>. London/New York: Routledge.",128,--
242,Hungarian,own,Anna</td><td>látta</td><td>hogy</td><td>a</td><td>saját</td><td>könyv-e</td><td>is</td><td>elveszett,Anna</td><td>saw</td><td>that</td><td>ART</td><td>own</td><td>book-POSS.3SG</td><td>also</td><td>got.lost,Anna saw that her own books also got lost.,"Kenesei, István, Robert M. Vago, and Anna Fenyvesi (1998). <i>Hungarian</i>. London/New York: Routledge.",129,--
243,Hungarian,own,Éva</td><td>az</td><td>o</td><td>kutyá-já-val</td><td>játszik</td><td>én</td><td>a</td><td>maga-m-é-val,Eve</td><td>ART</td><td>(s)he</td><td>dog-POSS.3SG-INST</td><td>(s)he.plays</td><td>I</td><td>ART</td><td>REFL-POSS.1SG-NPS-INST,Eve is playing with her dog and I with my own.,"Kenesei, István, Robert M. Vago, and Anna Fenyvesi (1998). <i>Hungarian</i>. London/New York: Routledge.",274,INST: Instrumental; NPS: Nominal Possessor Suffix
244,Gujarati,adnominal,hu</td><td>pote</td><td>surat</td><td>gayo,I</td><td>INT.NOM</td><td>Surat</td><td>went,I myself went to Surat.,"Mistry (2000). Lexical anaphors and pronouns in Gujarati. In Lust et al. (eds.), <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton de Gruyter.",339,--
246,Copainala Zoque,adv exclusive,N-ne&#660;k&#616;-&#660;is</td><td>ndz&#616;hku</td><td>nd&#305;k,1.POSS-INT-ERG</td><td>I.made.it</td><td>my.house,I have built my house myself.,Volker Gast (f.w.),-,&lt;N&gt;: indicates prenasalization of the following consonant
247,Copainala Zoque,reflexive,Y-kenu</td><td>Y-win</td><td>espeho-&#660;ohmo</td><td>te&#660;</td><td>Juan-&#660;is,3.ERG-saw</td><td>3.POSS-REFL</td><td>mirror-in</td><td>ART</td><td>John-ERG,John saw himself in the mirror.,Volker Gast (f.w.),-,--
248,Copainala Zoque,own,Y-tsamhayu</td><td>te&#660;</td><td>Y-t&#616;w&#616;</td><td>ke</td><td>t&#616;hk&#616;yu</td><td>wakas</td><td>Y-ne&#660;</td><td>Y-kama-&#660;ohmo,3.ERG-said.to</td><td>ART</td><td>3.POSS-friend</td><td>that</td><td>entered</td><td>cow(s)</td><td>3.POSS-own</td><td>3.POSS-corn.field-in,He told his friend that cows had entered his own cornfield.,Volker Gast (f.w.),-,--
249,Copainala Zoque,adv exclusive,naytyum&#616;</td><td>Y-tsehtsu</td><td>te&#660;</td><td>tsa&#660;ma</td><td>wa&#660;y</td><td>Y-ts&#616;hku</td><td>kama,alone/INT.3SG</td><td>3.ERG.cleared</td><td>ART</td><td>underwood</td><td>so.that</td><td>3.POSS-do</td><td>corn,He cleared the land alone in order to sow corn (lit.: do corn).,Volker Gast (f.w.),-,--
250,Kannada,adnominal,naanu</td><td>naan-ee</td><td>bande,I</td><td>I-EMPH</td><td>came,I myself came.,"Amritavalli, R. (2000). Lexical anaphors and pronouns in Kannada. In Lust et al. (eds.), <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton.",49-112,--
251,Kannada,adnominal,Raama</td><td>avan-ee/taan-ee</td><td>banda,Raama</td><td>he-EMPH/TAAN-EMPH</td><td>came,Raama himself came.,"Amritavalli, R. (2000). Lexical anaphors and pronouns in Kannada. In Lust et al. (eds.), <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton.",81,<i>taan-ee</i> as a strategy of adnominal intensification only with subjects (nominative or dative/experiencer NPs)
252,Maltese,reflexive,trid</td><td>te&#380;amina</td><td>lil-ek</td><td>innifs-ek</td><td>swwa</td><td>biex</td><td>tara</td><td>ghand</td><td>tort,want</td><td>examine</td><td>OM.2SG</td><td>REFL-PRON.2SG</td><td>well</td><td>in.order.to</td><td>see</td><td>have.not</td><td>fault,You have to examine yourself carefully to see whether you are at fault.,"Borg, Albert & Maarie Azzopardi-Alexander (1997). <i>Maltese</i>. London: Routledge.",94,OM: object marker; &#380;: alveolar affricate
253,Maltese,reflexive,din</td><td>l-istorja</td><td>tirrepeti</td><td>ruh-ha</td><td>kull</td><td>sena,this</td><td>the-story</td><td>repeats</td><td>REFL-PRON.3SG.FEM</td><td>every</td><td>year,This affair repeats itself every year.,"Borg, Albert & Maarie Azzopardi-Alexander (1997). <i>Maltese</i>. London: Routledge.",95,<i>ruh</i>: occurs in anti-causative and other middle contexts
254,Maltese,adnominal,l-Imperatur</td><td>innifs-u/stess</td><td>gej</td><td>jarak,the-emperor</td><td>INT-PRON.3SG/INT</td><td>is.coming</td><td>sees,The emperor himself is coming to see you.,"Borg, Albert & Maarie Azzopardi-Alexander (1997). <i>Maltese</i>. London: Routledge.",103,&lt;g&gt;: voiced post-alveolar affricate
256,Hebrew,reflexive,hu</td><td>metaken</td><td>et</td><td>atsm-o,he</td><td>corrects</td><td>DEF.OBJ</td><td>REFL-POSS.3.SG.MASC,He corrects himself.,"Glinert, Lewis (1989). <i>The Grammar of Modern Hebrew</i>. Cambridge: CUP.",67,--
257,Hebrew,reflexive,he&#146;ir</td><td>atsm-o,wake.up</td><td>REFL-POSS.3.SG.MASC,to wake oneself up,"Glinert, Lewis (1989). <i>The Grammar of Modern Hebrew</i>. Cambridge: CUP.",67,nominal strategy
258,Hebrew,reflexive,hitorer,wake.up.HITPA&#146;EL,to wake up (intransitive),"Glinert, Lewis (1989). <i>The Grammar of Modern Hebrew</i>. Cambridge: CUP.",67,verbal strategy
259,Hebrew,adnominal,taashímu</td><td>et</td><td>ha-sar</td><td>(be-)atsm-o,blame</td><td>DEF.OBJ</td><td>ART-minister</td><td>(BE-)INT-POSS.3SG,Blame the minister himself!,"Glinert, Lewis (1989). <i>The Grammar of Modern Hebrew</i>. Cambridge: CUP.",68,--
260,Hebrew,adnominal,ha-makom</td><td>atsm-o</td><td>nire</td><td>muznah</td><td>lemaday,ART-place</td><td>INT-3.SG.MASC</td><td>looks</td><td>shabby</td><td>rather,The place itself looks rather shabby.,questionnaire (source of information: Laurence Khaiat),-,--
261,Hebrew,adv exclusive,ani</td><td>tamid</td><td>poteah</td><td>et</td><td>mihtav-ay</td><td>be-atsm-i,I</td><td>always</td><td>open</td><td>DEF.OBJ</td><td>letters-POSS.1.SG</td><td>INSTR-INT-POSS.1.SG.,I always open my letters myself.,questionnaire (source of information: Laurence Khaiat),-,<i>ay</i>: implies plural possessum
262,Hindi,adv exclusive,tum</td><td>apnee</td><td>aap</td><td>hii</td><td>kheeloo,you.FAM</td><td>[REFL</td><td>INT]</td><td>only</td><td>play.IMP,Play by yourself (not with anyone else)!,"Davison, A. Mistry (2000). Lexical anaphors and pronouns in Hindi/Urdu. In Lust et al. (eds.), <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton de Gruyter.",402,[REFL INT]: adverbial exclusive meaning
263,Koyra Chiini,adnominal,ay</td><td>ta</td><td>jaatir</td><td>di</td><td>cindi</td><td>ka</td><td>goy</td><td>dooti,I</td><td>TOP</td><td>INT</td><td>DEF</td><td>remain</td><td>INF</td><td>work</td><td>there,I myself continue to work there.,"Heath, Jeffrey (1999a). <i>A Grammar of Koyra Chiini. The Songhay of Timbuktu</i>. Berlin/New York: Mouton de Gruyter.",217,--
264,Koyra Chiini,adv exclusive,boro</td><td>bobo</td><td>guna</td><td>ga</td><td>i</td><td>jur</td><td>[[&#331;giye</td><td>huneyno]</td><td>se]</td><td>i</td><td>si</td><td>batu</td><td>ga</td><td>gaa,person</td><td>many</td><td>see</td><td>it</td><td>they</td><td>run</td><td>[[REFL.3PL</td><td>INT]</td><td>DAT]</td><td>they</td><td>IMPF.NEG</td><td>await</td><td>it</td><td>EMPH,"Many people have seen it (=dwarf), (but) they ran away by themselves, they didn't wait for it at all.","Heath, Jeffrey (1999a). <i>A Grammar of Koyra Chiini. The Songhay of Timbuktu</i>. Berlin/New York: Mouton de Gruyter.",218,reflexive <i>&#331;giye</i> (&lt;&#331;gu) in combination with AVE
265,Koyra Chiini,reflexive,i</td><td>si</td><td>naaney</td><td>[&#331;giye</td><td>bomo],they</td><td>IMPF.NEG</td><td>trust</td><td>[REFL.3PL</td><td>head],They don,"Heath, Jeffrey (1999a). <i>A Grammar of Koyra Chiini. The Songhay of Timbuktu</i>. Berlin/New York: Mouton de Gruyter.",330,heavy reflexive strategy
266,Koyra Chiini,adnominal,a</td><td>si</td><td>hasara</td><td>[n</td><td>ga]</td><td>haya</td><td>foo</td><td>nda</td><td>n</td><td>&#269;i</td><td>ni</td><td>daa</td><td>[nda</td><td>[n</td><td>bomo</td><td>di]]</td><td>&#331;ga</td><td>ma</td><td>jiti</td><td>[[n</td><td>bomo]</td><td>kuna]</td><td>kul,it</td><td>IMPF.NEG</td><td>ruin</td><td>[you</td><td>on]</td><td>thing</td><td>one</td><td>if</td><td>NEG</td><td>be</td><td>you</td><td>EMPH</td><td>[with</td><td>[your</td><td>head</td><td>DEF]]</td><td>SBJ.FOC</td><td>SUBJ</td><td>be.startled</td><td>[[your</td><td>head]</td><td>LOC]</td><td>all,"It (dwarf) won't hurt anything on you, unless it's you yourself who may be startled inside your head.","Heath, Jeffrey (1999a). <i>A Grammar of Koyra Chiini. The Songhay of Timbuktu</i>. Berlin/New York: Mouton de Gruyter.",331,SUBJ: subjunctive; SBJFOC: subject focus; <i>bomo</i> used like an adnominal intensifier
